10-03-2021 20:23:50 home.jakkrit.Desktop.Code.SIMPLI.jakkrit.brownie-docker.FundME.scripts.deploy DEBUG    Deploying on <function show_active at 0x7f3180442d30>
10-03-2021 20:23:50 web3.RequestManager              DEBUG    Making request. Method: eth_getBlockByNumber
10-03-2021 20:23:50 web3.providers.HTTPProvider      DEBUG    Making request HTTP. URI: http://127.0.0.1:8545, Method: eth_getBlockByNumber
10-03-2021 20:23:50 urllib3.connectionpool           DEBUG    http://127.0.0.1:8545 "POST / HTTP/1.1" 200 None
10-03-2021 20:23:50 web3.providers.HTTPProvider      DEBUG    Getting response HTTP. URI: http://127.0.0.1:8545, Method: eth_getBlockByNumber, Response: {'id': 21, 'jsonrpc': '2.0', 'result': {'number': '0xcba6a5', 'hash': '0x42fb979ab127a201a294ef77732857789a521876823addad7c5d580e736d71a6', 'parentHash': '0x795dd257108897cf8b5d6733e6c5096918f9163c42a1051e9b83a70f45b1a7eb', 'mixHash': '0x0000000000000000000000000000000000000000000000000000000000000000', 'nonce': '0x0000000000000000', 'sha3Uncles': '0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347', 'logsBloom': '0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000', 'transactionsRoot': '0x56e81f171bcc55a6ff8345e692c0f86e5b48e01b996cadc001622fb5e363b421', 'stateRoot': '0xde0613a35734a4d2de910aa016326f0eb14ea537deeaf85d8fbb8e3d3a90cbe7', 'receiptsRoot': '0x56e81f171bcc55a6ff8345e692c0f86e5b48e01b996cadc001622fb5e363b421', 'miner': '0x0000000000000000000000000000000000000000', 'difficulty': '0x0', 'totalDifficulty': '0x0', 'extraData': '0x', 'size': '0x3e8', 'gasLimit': '0xb71b00', 'gasUsed': '0x0', 'timestamp': '0x6159aee5', 'transactions': [], 'uncles': []}}
10-03-2021 20:23:50 web3.RequestManager              DEBUG    Making request. Method: eth_getTransactionCount
10-03-2021 20:23:50 web3.providers.HTTPProvider      DEBUG    Making request HTTP. URI: http://127.0.0.1:8545, Method: eth_getTransactionCount
10-03-2021 20:23:50 urllib3.connectionpool           DEBUG    http://127.0.0.1:8545 "POST / HTTP/1.1" 200 None
10-03-2021 20:23:50 web3.providers.HTTPProvider      DEBUG    Getting response HTTP. URI: http://127.0.0.1:8545, Method: eth_getTransactionCount, Response: {'id': 22, 'jsonrpc': '2.0', 'result': '0x2'}
10-03-2021 20:23:50 web3.RequestManager              DEBUG    Making request. Method: eth_sendTransaction
10-03-2021 20:23:50 web3.RequestManager              DEBUG    Making request. Method: eth_gasPrice
10-03-2021 20:23:50 web3.providers.HTTPProvider      DEBUG    Making request HTTP. URI: http://127.0.0.1:8545, Method: eth_gasPrice
10-03-2021 20:23:50 urllib3.connectionpool           DEBUG    http://127.0.0.1:8545 "POST / HTTP/1.1" 200 None
10-03-2021 20:23:50 web3.providers.HTTPProvider      DEBUG    Getting response HTTP. URI: http://127.0.0.1:8545, Method: eth_gasPrice, Response: {'id': 23, 'jsonrpc': '2.0', 'result': '0x4a817c800'}
10-03-2021 20:23:50 web3.RequestManager              DEBUG    Making request. Method: eth_getBlockByNumber
10-03-2021 20:23:50 web3.providers.HTTPProvider      DEBUG    Making request HTTP. URI: http://127.0.0.1:8545, Method: eth_getBlockByNumber
10-03-2021 20:23:50 urllib3.connectionpool           DEBUG    http://127.0.0.1:8545 "POST / HTTP/1.1" 200 None
10-03-2021 20:23:50 web3.providers.HTTPProvider      DEBUG    Getting response HTTP. URI: http://127.0.0.1:8545, Method: eth_getBlockByNumber, Response: {'id': 24, 'jsonrpc': '2.0', 'result': {'number': '0xcba6a5', 'hash': '0x42fb979ab127a201a294ef77732857789a521876823addad7c5d580e736d71a6', 'parentHash': '0x795dd257108897cf8b5d6733e6c5096918f9163c42a1051e9b83a70f45b1a7eb', 'mixHash': '0x0000000000000000000000000000000000000000000000000000000000000000', 'nonce': '0x0000000000000000', 'sha3Uncles': '0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347', 'logsBloom': '0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000', 'transactionsRoot': '0x56e81f171bcc55a6ff8345e692c0f86e5b48e01b996cadc001622fb5e363b421', 'stateRoot': '0xde0613a35734a4d2de910aa016326f0eb14ea537deeaf85d8fbb8e3d3a90cbe7', 'receiptsRoot': '0x56e81f171bcc55a6ff8345e692c0f86e5b48e01b996cadc001622fb5e363b421', 'miner': '0x0000000000000000000000000000000000000000', 'difficulty': '0x0', 'totalDifficulty': '0x0', 'extraData': '0x', 'size': '0x3e8', 'gasLimit': '0xb71b00', 'gasUsed': '0x0', 'timestamp': '0x6159aee5', 'transactions': [], 'uncles': []}}
10-03-2021 20:23:50 web3.providers.HTTPProvider      DEBUG    Making request HTTP. URI: http://127.0.0.1:8545, Method: eth_sendTransaction
10-03-2021 20:23:51 urllib3.connectionpool           DEBUG    http://127.0.0.1:8545 "POST / HTTP/1.1" 200 None
10-03-2021 20:23:51 web3.providers.HTTPProvider      DEBUG    Getting response HTTP. URI: http://127.0.0.1:8545, Method: eth_sendTransaction, Response: {'id': 25, 'jsonrpc': '2.0', 'result': '0xeb56dc98d3aa0a0f57163e0775496e55b9871d0e8fe256a59d56c5f45a1884f6'}
10-03-2021 20:23:51 web3.RequestManager              DEBUG    Making request. Method: eth_getTransactionByHash
10-03-2021 20:23:51 web3.providers.HTTPProvider      DEBUG    Making request HTTP. URI: http://127.0.0.1:8545, Method: eth_getTransactionByHash
10-03-2021 20:23:51 urllib3.connectionpool           DEBUG    http://127.0.0.1:8545 "POST / HTTP/1.1" 200 None
